,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
0,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-02T10:30:52.713
1,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-02T12:27:24.143
2,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-02T14:32:35.66
3,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-03T09:46:14.65
4,NA,AGRICULTURE,Others,Others,Nutrient Management,Asked about nutrient management in Mangostien three months after planting,"5Kg FYM every six months+18-18-18 100g every three months and spraying with 19-19-19 5g per one litre of water once in two weeks and micromix 1gm per one litre of water every month
",KERALA,PATHANAMTHITTA,0   ,2022-08-03T10:01:58.34
5,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-03T10:59:42.03
6,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-04T09:18:55.717
7,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-04T09:25:18.853
9,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-05T09:13:58.877
10,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-05T09:15:08.077
11,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-05T12:50:22.667
15,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-06T11:55:53.903
17,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-08T09:25:55.15
21,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-08T14:41:19.947
22,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-09T09:23:24.57
23,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-09T09:24:24.147
24,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-10T15:29:34.67
